musteri_id,yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
1001,49,,31,4,İzmir,Standart,1
1002,29,115925,49,5,Ankara,Platinum,0
1003,35,118543,2,0,İstanbul,Standart,0
1004,24,147471,41,2,İzmir,Platinum,0
1005,41,101660,45,7,İstanbul,Silver,1
1006,29,53835,19,5,İstanbul,Silver,1
1007,27,141249,35,6,Ankara,Gold,0
1008,31,40583,57,1,Antalya,Standart,0
1009,58,106995,6,2,İzmir,Platinum,1
1010,22,129904,47,3,Antalya,Gold,0
1011,58,133555,20,0,Ankara,Platinum,0
1012,,102644,28,7,İzmir,Silver,1
1013,-5,,27,2,Bursa,Standart,1
1014,64,59161,21,9,İstanbul,Gold,1
1015,23,,24,5,Antalya,Silver,0
1016,30,28890,52,2,İzmir,Standart,0
1017,47,71831,52,6,İstanbul,Platinum,1
1018,58,126014,21,4,Bursa,Gold,1
1019,37,96781,18,6,Antalya,Standart,0
1020,26,120803,57,3,Bursa,Silver,0
1021,47,143594,1,6,Antalya,Platinum,0
1022,,101134,58,4,Ankara,Gold,0
1023,62,54306,45,9,Ankara,Standart,1
1024,26,124329,5,2,İzmir,Gold,0
1025,37,28621,52,5,İstanbul,Standart,0
1026,28,2500000,50,2,İstanbul,Gold,0
1027,,63947,11,8,Ankara,Gold,1
1028,49,66770,19,2,İstanbul,Platinum,1
1029,61,34331,38,1,Bursa,Standart,0
1030,41,61709,57,4,İzmir,Silver,0
1031,18,128084,54,9,Bursa,Gold,1
1032,59,134810,30,7,İstanbul,Standart,0
1033,27,65044,10,8,Antalya,Platinum,1
1034,26,31321,6,6,Antalya,Standart,0
1035,54,83015,38,0,Bursa,Silver,0
1036,37,141815,48,6,Antalya,Standart,0
1037,53,79357,57,7,Antalya,Silver,1
1038,46,38827,36,8,Bursa,Silver,0
1039,25,37599,16,5,Antalya,Silver,1
1040,28,135409,41,5,Antalya,Standart,0
1041,57,35461,43,0,İstanbul,Gold,0
1042,56,50054,8,3,Bursa,Gold,0
1043,64,103435,38,9,Bursa,Standart,1
1044,27,145502,47,4,Bursa,Silver,1
1045,36,148864,8,7,Ankara,Platinum,1
1046,140,48902,28,6,Ankara,Gold,1
1047,57,64783,34,9,Bursa,Gold,1
1048,33,124286,58,6,İstanbul,Platinum,0
1049,62,43165,37,3,Antalya,Platinum,1
1050,18,121401,44,8,Bursa,Gold,1
1051,60,,28,5,Bursa,Gold,1
1052,30,112799,3,6,Bursa,Silver,0
1053,,105452,58,7,İstanbul,Standart,1
1054,29,112441,4,5,Bursa,Silver,0
1055,33,66362,56,5,İzmir,Gold,0
1056,51,41828,7,8,Bursa,Standart,1
1057,47,132347,42,8,İstanbul,Platinum,1
1058,42,97274,4,6,İstanbul,Platinum,1
1059,54,61487,9,5,Ankara,Silver,1
1060,37,83947,25,2,Bursa,Gold,0
1061,53,,4,85,Bursa,Gold,1
1062,48,141642,12,5,İstanbul,,0
1063,28,117411,6,7,Ankara,Standart,0
1064,57,72692,45,,Ankara,Platinum,0
1065,38,130054,54,,İzmir,Gold,1
1066,45,,29,6,Antalya,Silver,0
1067,26,83487,21,2,Ankara,Gold,1
1068,40,49005,42,8,Antalya,Silver,0
1069,44,79261,16,0,Bursa,Silver,0
1070,41,,58,0,Antalya,Gold,0
1071,64,-15000,10,5,İzmir,Gold,1
1072,55,121802,6,7,Antalya,Standart,0
1073,40,95134,34,9,Ankara,Platinum,1
1074,27,70509,28,8,Ankara,Silver,1
1075,63,149539,52,8,Bursa,Silver,1
1076,20,41373,55,8,Bursa,Platinum,1
1077,36,48928,46,6,Bursa,Platinum,0
1078,46,90049,39,3,İstanbul,Standart,0
1079,29,68726,16,6,İstanbul,Gold,1
1080,28,51588,43,6,İzmir,Standart,1
1081,48,126706,53,0,Antalya,Platinum,0
1082,53,118771,9,4,İstanbul,Standart,0
1083,46,142025,4,1,İstanbul,Standart,0
1084,21,86321,25,6,Ankara,Platinum,1
1085,37,80211,9,2,İstanbul,Gold,0
1086,38,46524,48,5,İstanbul,Gold,0
1087,32,79994,42,0,İzmir,Platinum,0
1088,23,29254,25,2,Ankara,Gold,1
1089,105,34987,58,2,İzmir,Standart,0
1090,24,107350,52,2,Ankara,Gold,0
1091,42,26821,30,6,İstanbul,Standart,1
1092,57,120791,29,8,Antalya,,1
1093,55,112024,32,5,İstanbul,Platinum,0
1094,64,149925,44,2,Ankara,Gold,1
1095,25,84931,49,4,Bursa,Gold,0
1096,55,42351,999,6,Ankara,Silver,0
1097,22,138689,43,4,Bursa,Platinum,0
1098,41,45718,3,2,,Gold,1
1099,53,41990,19,2,İstanbul,Standart,0
1100,33,50702,3,7,Antalya,Standart,1
1101,52,25697,25,7,,Platinum,1
1102,21,139069,15,,Antalya,Gold,1
1103,36,89029,15,5,Antalya,Silver,1
1104,31,89902,54,4,Bursa,Silver,0
1105,64,36574,47,0,,Gold,0
1106,21,122327,15,6,Antalya,Silver,0
1107,64,39383,28,9,İstanbul,Silver,1
1108,55,134372,5,7,İzmir,Silver,0
1109,47,67630,22,1,Antalya,Platinum,0
1110,40,34313,39,3,Bursa,Silver,0
1111,39,107357,43,2,Antalya,Silver,1
1112,,85076,31,0,Ankara,Standart,0
1113,35,37002,53,1,İzmir,Gold,0
1114,41,53327,25,6,İzmir,Standart,0
1115,61,142116,16,2,İzmir,Silver,0
1116,48,129352,57,6,İzmir,Standart,1
1117,,109464,2,1,Ankara,Gold,1
1118,25,52262,30,7,Ankara,Silver,1
1119,38,,47,,Antalya,Standart,0
1120,45,114690,38,2,İstanbul,Standart,0
1121,29,101174,24,5,İzmir,Gold,0
1122,23,92696,3,4,Bursa,Gold,0
1123,40,65852,17,7,Antalya,Gold,1
1124,43,57769,50,1,Ankara,Platinum,0
1125,36,117998,26,5,Antalya,Platinum,0
1126,31,62273,36,3,İzmir,Silver,0
1127,56,71125,58,2,Ankara,Gold,0
1128,21,90120,31,2,,Gold,0
1129,32,80200,42,3,Ankara,Silver,0
1130,41,140962,9,8,İzmir,Gold,1
1131,31,1800000,46,4,İzmir,Gold,0
1132,42,82513,27,7,Bursa,Platinum,1
1133,38,89234,24,2,İstanbul,Gold,0
1134,18,80887,2,4,Ankara,,0
1135,47,118783,26,4,Bursa,Silver,0
1136,29,55742,7,9,Bursa,Standart,1
1137,,127894,34,6,İstanbul,Platinum,0
1138,45,26374,29,8,İstanbul,Standart,1
1139,63,143062,17,7,Ankara,Platinum,0
1140,51,55183,50,2,İzmir,Gold,1
1141,42,130287,32,,İzmir,Standart,0
1142,,65088,42,3,İstanbul,Gold,0
